2021-04-12 16:16:16,015:INFO:this is serial logger
2021-04-12 16:16:26,047:INFO:[   41.583565] fpga_manager fpga0: writing aeqb-td-bitstream.core.rbf to Stratix10 SOC FPGA Manager
[   63.937715] cco_driver 80440000.RF6_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb12' probed and ready!
[   63.938924] Deasserting reset
[   63.939211] cco_driver 80450000.RF6B_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb13' probed and ready!
[   63.940593] Deasserting reset
[   63.940905] cco_driver 80460000.RF7_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb14' probed and ready!
[   63.942296] Deasserting reset
[   63.942605] cco_driver 80470000.RF7B_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb15' probed and ready!
[   63.943919] Deasserting reset
[   63.944300] cco_driver 80480000.RF8_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb16' probed and ready!
[   63.945614] Deasserting reset
[   63.945913] cco_driver 80490000.RF8B_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb17' probed and ready!
[   64.144648] stmmac - user ID: 0x11, Synopsys ID: 0x37
[   64.149725] socfpga-dwmac ff802000.ethernet: Ring mode enabled
[   64.155557] socfpga-dwmac ff802000.ethernet: DMA HW capability register supported
[   64.163026] socfpga-dwmac ff802000.ethernet: Enhanced/Alternate descriptors
[   64.170051] socfpga-dwmac ff802000.ethernet: Enabled extended descriptors
[   64.176837] socfpga-dwmac ff802000.ethernet: RX Checksum Offload Engine supported
[   64.184303] socfpga-dwmac ff802000.ethernet: COE Type 2
[   64.189522] socfpga-dwmac ff802000.ethernet: TX Checksum insertion supported
[   64.196558] socfpga-dwmac ff802000.ethernet: Enable RX Mitigation via HW Watchdog Timer
[   64.214332] socfpga-dwmac ff804000.ethernet: PTP uses main clock
[   64.220649] stmmac - user ID: 0x11, Synopsys ID: 0x37
[   64.225860] socfpga-dwmac ff804000.ethernet: Ring mode enabled
[   64.231813] socfpga-dwmac ff804000.ethernet: DMA HW capability register supported
[   64.239303] socfpga-dwmac ff804000.ethernet: Enhanced/Alternate descriptors
[   64.246253] socfpga-dwmac ff804000.ethernet: Enabled extended descriptors
[   64.253028] socfpga-dwmac ff804000.ethernet: RX Checksum Offload Engine supported
[   64.260492] socfpga-dwmac ff804000.ethernet: COE Type 2
[   64.265710] socfpga-dwmac ff804000.ethernet: TX Checksum insertion supported
[   64.272826] socfpga-dwmac ff804000.ethernet: Enable RX Mitigation via HW Watchdog Timer
[   64.289813] f9030000.serial2: ttyS2 at MMIO 0xf9030000 (irq = 119, base_baud = 3276800) is a Altera 16550 FIFO128
[   64.308015] f9030200.serial3: ttyS3 at MMIO 0xf9030200 (irq = 119, base_baud = 3276800) is a Altera 16550 FIFO128
[   64.335719] f9030400.serial4: ttyS4 at MMIO 0xf9030400 (irq = 119, base_baud = 3276800) is a Altera 16550 FIFO128
[   64.355037] f9030600.serial5: ttyS5 at MMIO 0xf9030600 (irq = 119, base_baud = 3276800) is a Altera 16550 FIFO128
[   64.367897] f9030800.serial6: ttyS6 at MMIO 0xf9030800 (irq = 119, base_baud = 3276800) is a Altera 16550 FIFO128
[   64.385189] f9030a00.serial7: ttyS7 at MMIO 0xf9030a00 (irq = 119, base_baud = 3276800) is a Altera 16550 FIFO128
[   64.403093] f9030c00.serial8: ttyS8 at MMIO 0xf9030c00 (irq = 119, base_baud = 3276800) is a Altera 16550 FIFO128
[   64.415012] f9030e00.serial9: ttyS9 at MMIO 0xf9030e00 (irq = 119, base_baud = 3276800) is a Altera 16550 FIFO128
[   64.656018] device eth0 left promiscuous mode
[   64.740917] Not support switch PN:0xcd32!
[   64.745171] Marvell 88E1510 stmmac-0:01: attached PHY driver [Marvell 88E1510] (mii_bus:phy_addr=stmmac-0:01, irq=-1)
[   64.759643] socfpga-dwmac ff800000.ethernet eth0: IEEE 1588-2008 Advanced Timestamp supported
[   64.768678] socfpga-dwmac ff800000.ethernet eth0: registered PTP clock
[   64.776780] device eth0 entered promiscuous mode
[   64.830881] Generic PHY fixed-0:00: attached PHY driver [Generic PHY] (mii_bus:phy_addr=fixed-0:00, irq=-1)
[   64.843391] socfpga-dwmac ff802000.ethernet eth1: IEEE 1588-2008 Advanced Timestamp supported
[   64.852524] socfpga-dwmac ff802000.ethernet eth1: registered PTP clock
[   64.881589] Generic PHY fixed-0:01: attached PHY driver [Generic PHY] (mii_bus:phy_addr=fixed-0:01, irq=-1)
[   64.895565] socfpga-dwmac ff804000.ethernet eth2: IEEE 1588-2008 Advanced Timestamp supported
[   64.904607] socfpga-dwmac ff804000.ethernet eth2: registered PTP clock
[   64.947311] br0: port 1(eth1) entered blocking state
[   64.953221] br0: port 1(eth1) entered disabled state
[   64.961115] device eth1 entered promiscuous mode
[   64.975519] br0: port 2(eth2) entered blocking state
[   64.980612] br0: port 2(eth2) entered disabled state
[   64.985909] device eth2 entered promiscuous mode
[   64.995867] br0: port 2(eth2) entered blocking state
[   65.000843] br0: port 2(eth2) entered forwarding state
[   65.006072] br0: port 1(eth1) entered blocking state
[   65.011042] br0: port 1(eth1) entered forwarding state
[   65.684339] br0: port 1(eth1) entered disabled state
[   65.690122] br0: port 2(eth2) entered disabled state
[   65.813058] socfpga-dwmac ff800000.ethernet eth0: Link is Up - 1Gbps/Full - flow control off
[   65.876293] socfpga-dwmac ff802000.ethernet eth1: Link is Up - 1Gbps/Full - flow control off
[   65.884823] br0: port 1(eth1) entered blocking state
[   65.889784] br0: port 1(eth1) entered forwarding state
[   65.940287] socfpga-dwmac ff804000.ethernet eth2: Link is Up - 1Gbps/Full - flow control off
[   65.948819] br0: port 2(eth2) entered blocking state
[   65.953780] br0: port 2(eth2) entered forwarding state

2021-04-12 16:16:54,206:INFO:[   69.919668] ttyS1 - failed to request DMA

